"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2012","7,902.27","7,300.61","7,992.72","7,289.58","","8.24%"
"06/01/2012","7,300.53","6,942.11","7,322.75","6,817.61","","5.16%"
"05/01/2012","6,942.58","7,530.76","7,647.91","6,565.85","","-8.08%"
"04/01/2012","7,552.52","7,209.55","7,845.25","7,175.36","","4.75%"
"03/01/2012","7,209.94","7,481.70","7,493.38","7,066.70","","-3.64%"
"02/01/2012","7,482.07","7,226.58","7,632.27","7,194.47","","3.54%"
"01/01/2012","7,226.58","6,936.43","7,322.28","6,879.86","","4.19%"
"12/01/2011","6,936.21","7,572.04","7,680.41","6,643.02","","-8.40%"
"11/01/2011","7,572.19","7,022.34","7,626.07","6,695.90","","7.83%"
"10/01/2011","7,022.51","6,111.37","7,127.76","5,526.14","","14.91%"
"09/01/2011","6,111.54","7,373.47","7,422.84","6,009.31","","-17.09%"
"08/01/2011","7,371.31","7,642.58","7,743.44","5,955.30","","-3.48%"
"07/01/2011","7,637.43","7,069.81","7,714.75","7,001.87","","8.03%"
"06/01/2011","7,069.63","6,778.77","7,103.51","6,659.99","","4.38%"
"05/01/2011","6,772.82","6,617.40","6,923.78","6,283.20","","2.35%"
"04/01/2011","6,617.40","6,677.43","6,973.81","6,372.85","","-0.90%"
"03/01/2011","6,677.52","6,862.64","7,021.33","6,115.74","","-2.70%"
"02/01/2011","6,862.64","6,742.48","6,919.56","6,175.77","","1.78%"
"01/01/2011","6,742.34","6,275.62","6,911.67","6,295.94","","7.44%"
"12/01/2010","6,275.62","5,430.23","6,464.27","5,433.41","","15.60%"
"11/01/2010","5,428.69","4,679.43","5,572.50","4,671.90","","16.02%"
"10/01/2010","4,679.24","4,414.92","4,693.13","4,403.41","","6.00%"
"09/01/2010","4,414.44","4,394.13","4,576.78","4,371.31","","0.46%"
"08/01/2010","4,394.13","4,019.06","4,551.89","4,057.13","","9.35%"
"07/01/2010","4,018.40","3,773.06","4,079.49","3,682.88","","6.50%"
"06/01/2010","3,773.06","3,832.85","4,210.27","3,698.91","","-0.62%"
"05/01/2010","3,796.64","4,251.49","4,278.94","3,340.20","","-10.70%"
"04/01/2010","4,251.46","4,623.05","4,793.52","4,164.45","","-8.03%"
"03/01/2010","4,622.91","4,666.76","4,742.45","4,475.15","","0.97%"
"02/01/2010","4,578.46","4,604.25","4,802.31","4,452.77","","-0.56%"
"01/01/2010","4,604.25","4,362.42","4,881.35","4,362.42","","5.53%"
